versions:android-7.0.0_r1,android-7.1.0_r1,cm-14.0
packages_apps_TvSettings,https://android.googlesource.com/platform/packages/apps/TvSettings,https://review.lineageos.org/LineageOS/android_packages_apps_TvSettings
packages_apps_TV,https://android.googlesource.com/platform/packages/apps/TV,https://review.lineageos.org/LineageOS/android_packages_apps_TV
packages_apps_UnifiedEmail,https://android.googlesource.com/platform/packages/apps/UnifiedEmail,https://review.lineageos.org/LineageOS/android_packages_apps_UnifiedEmail
packages_inputmethods_LatinIME,https://android.googlesource.com/platform/packages/inputmethods/LatinIME,https://review.lineageos.org/LineageOS/android_packages_inputmethods_LatinIME
packages_providers_BlockedNumberProvider,https://android.googlesource.com/platform/packages/providers/BlockedNumberProvider,https://review.lineageos.org/LineageOS/android_packages_providers_BlockedNumberProvider
packages_providers_BookmarkProvider,https://android.googlesource.com/platform/packages/providers/BookmarkProvider,https://review.lineageos.org/LineageOS/android_packages_providers_BookmarkProvider
packages_providers_CalendarProvider,https://android.googlesource.com/platform/packages/providers/CalendarProvider,https://review.lineageos.org/LineageOS/android_packages_providers_CalendarProvider
packages_providers_CallLogProvider,https://android.googlesource.com/platform/packages/providers/CallLogProvider,https://review.lineageos.org/LineageOS/android_packages_providers_CallLogProvider
packages_providers_ContactsProvider,https://android.googlesource.com/platform/packages/providers/ContactsProvider,https://review.lineageos.org/LineageOS/android_packages_providers_ContactsProvider
packages_providers_DownloadProvider,https://android.googlesource.com/platform/packages/providers/DownloadProvider,https://review.lineageos.org/LineageOS/android_packages_providers_DownloadProvider
packages_providers_MediaProvider,https://android.googlesource.com/platform/packages/providers/MediaProvider,https://review.lineageos.org/LineageOS/android_packages_providers_MediaProvider
packages_providers_PartnerBookmarksProvider,https://android.googlesource.com/platform/packages/providers/PartnerBookmarksProvider,https://review.lineageos.org/LineageOS/android_packages_providers_PartnerBookmarksProvider
packages_providers_TelephonyProvider,https://android.googlesource.com/platform/packages/providers/TelephonyProvider,https://review.lineageos.org/LineageOS/android_packages_providers_TelephonyProvider
packages_providers_TvProvider,https://android.googlesource.com/platform/packages/providers/TvProvider,https://review.lineageos.org/LineageOS/android_packages_providers_TvProvider
packages_providers_UserDictionaryProvider,https://android.googlesource.com/platform/packages/providers/UserDictionaryProvider,https://review.lineageos.org/LineageOS/android_packages_providers_UserDictionaryProvider
packages_screensavers_Basic,https://android.googlesource.com/platform/packages/screensavers/Basic,https://review.lineageos.org/LineageOS/android_packages_screensavers_Basic
