versions:android-4.2_r1,android-4.3_r1,cm-10.1
external_tinyalsa,https://android.googlesource.com/platform/external/tinyalsa,https://review.lineageos.org/LineageOS/android_external_tinyalsa
external_tinyxml,https://android.googlesource.com/platform/external/tinyxml,https://review.lineageos.org/LineageOS/android_external_tinyxml
external_tinyxml2,https://android.googlesource.com/platform/external/tinyxml2,https://review.lineageos.org/LineageOS/android_external_tinyxml2
external_tremolo,https://android.googlesource.com/platform/external/tremolo,https://review.lineageos.org/LineageOS/android_external_tremolo
external_v8,https://android.googlesource.com/platform/external/v8,https://review.lineageos.org/LineageOS/android_external_v8
external_valgrind,https://android.googlesource.com/platform/external/valgrind,https://review.lineageos.org/LineageOS/android_external_valgrind
external_webkit,https://android.googlesource.com/platform/external/webkit,https://review.lineageos.org/LineageOS/android_external_webkit
external_webp,https://android.googlesource.com/platform/external/webp,https://review.lineageos.org/LineageOS/android_external_webp
external_webrtc,https://android.googlesource.com/platform/external/webrtc,https://review.lineageos.org/LineageOS/android_external_webrtc
external_wpa_supplicant_6,https://android.googlesource.com/platform/external/wpa_supplicant_6,https://review.lineageos.org/LineageOS/android_external_wpa_supplicant_6
external_wpa_supplicant_8,https://android.googlesource.com/platform/external/wpa_supplicant_8,https://review.lineageos.org/LineageOS/android_external_wpa_supplicant_8
external_xmlwriter,https://android.googlesource.com/platform/external/xmlwriter,https://review.lineageos.org/LineageOS/android_external_xmlwriter
external_xmp_toolkit,https://android.googlesource.com/platform/external/xmp_toolkit,https://review.lineageos.org/LineageOS/android_external_xmp_toolkit
external_yaffs2,https://android.googlesource.com/platform/external/yaffs2,https://review.lineageos.org/LineageOS/android_external_yaffs2
external_zlib,https://android.googlesource.com/platform/external/zlib,https://review.lineageos.org/LineageOS/android_external_zlib
external_zxing,https://android.googlesource.com/platform/external/zxing,https://review.lineageos.org/LineageOS/android_external_zxing
frameworks_av,https://android.googlesource.com/platform/frameworks/av,https://review.lineageos.org/LineageOS/android_frameworks_av
frameworks_compile_libbcc,https://android.googlesource.com/platform/frameworks/compile/libbcc,https://review.lineageos.org/LineageOS/android_frameworks_compile_libbcc
frameworks_compile_linkloader,https://android.googlesource.com/platform/frameworks/compile/linkloader,https://review.lineageos.org/LineageOS/android_frameworks_compile_linkloader
frameworks_compile_llvm-ndk-cc,https://android.googlesource.com/platform/frameworks/compile/llvm-ndk-cc,https://review.lineageos.org/LineageOS/android_frameworks_compile_llvm-ndk-cc
frameworks_compile_mclinker,https://android.googlesource.com/platform/frameworks/compile/mclinker,https://review.lineageos.org/LineageOS/android_frameworks_compile_mclinker
frameworks_compile_slang,https://android.googlesource.com/platform/frameworks/compile/slang,https://review.lineageos.org/LineageOS/android_frameworks_compile_slang
frameworks_ex,https://android.googlesource.com/platform/frameworks/ex,https://review.lineageos.org/LineageOS/android_frameworks_ex
frameworks_mff,https://android.googlesource.com/platform/frameworks/mff,https://review.lineageos.org/LineageOS/android_frameworks_mff
frameworks_ml,https://android.googlesource.com/platform/frameworks/ml,https://review.lineageos.org/LineageOS/android_frameworks_ml
frameworks_native,https://android.googlesource.com/platform/frameworks/native,https://review.lineageos.org/LineageOS/android_frameworks_native
frameworks_opt_calendar,https://android.googlesource.com/platform/frameworks/opt/calendar,https://review.lineageos.org/LineageOS/android_frameworks_opt_calendar
frameworks_opt_carddav,https://android.googlesource.com/platform/frameworks/opt/carddav,https://review.lineageos.org/LineageOS/android_frameworks_opt_carddav
frameworks_opt_emoji,https://android.googlesource.com/platform/frameworks/opt/emoji,https://review.lineageos.org/LineageOS/android_frameworks_opt_emoji
frameworks_opt_inputmethodcommon,https://android.googlesource.com/platform/frameworks/opt/inputmethodcommon,https://review.lineageos.org/LineageOS/android_frameworks_opt_inputmethodcommon
frameworks_opt_mailcommon,https://android.googlesource.com/platform/frameworks/opt/mailcommon,https://review.lineageos.org/LineageOS/android_frameworks_opt_mailcommon
frameworks_opt_mms,https://android.googlesource.com/platform/frameworks/opt/mms,https://review.lineageos.org/LineageOS/android_frameworks_opt_mms
frameworks_opt_photoviewer,https://android.googlesource.com/platform/frameworks/opt/photoviewer,https://review.lineageos.org/LineageOS/android_frameworks_opt_photoviewer
frameworks_opt_telephony,https://android.googlesource.com/platform/frameworks/opt/telephony,https://review.lineageos.org/LineageOS/android_frameworks_opt_telephony
frameworks_opt_vcard,https://android.googlesource.com/platform/frameworks/opt/vcard,https://review.lineageos.org/LineageOS/android_frameworks_opt_vcard
frameworks_rs,https://android.googlesource.com/platform/frameworks/rs,https://review.lineageos.org/LineageOS/android_frameworks_rs
frameworks_support,https://android.googlesource.com/platform/frameworks/support,https://review.lineageos.org/LineageOS/android_frameworks_support
frameworks_testing,https://android.googlesource.com/platform/frameworks/testing,https://review.lineageos.org/LineageOS/android_frameworks_testing
frameworks_wilhelm,https://android.googlesource.com/platform/frameworks/wilhelm,https://review.lineageos.org/LineageOS/android_frameworks_wilhelm
hardware_broadcom_wlan,https://android.googlesource.com/platform/hardware/broadcom/wlan,https://review.lineageos.org/LineageOS/android_hardware_broadcom_wlan
hardware_invensense,https://android.googlesource.com/platform/hardware/invensense,https://review.lineageos.org/LineageOS/android_hardware_invensense
hardware_libhardware,https://android.googlesource.com/platform/hardware/libhardware,https://review.lineageos.org/LineageOS/android_hardware_libhardware
hardware_libhardware_legacy,https://android.googlesource.com/platform/hardware/libhardware_legacy,https://review.lineageos.org/LineageOS/android_hardware_libhardware_legacy
hardware_msm7k,https://android.googlesource.com/platform/hardware/msm7k,https://review.lineageos.org/LineageOS/android_hardware_msm7k
hardware_qcom_audio,https://android.googlesource.com/platform/hardware/qcom/audio,https://review.lineageos.org/LineageOS/android_hardware_qcom_audio
hardware_qcom_bt,https://android.googlesource.com/platform/hardware/qcom/bt,https://review.lineageos.org/LineageOS/android_hardware_qcom_bt
hardware_qcom_camera,https://android.googlesource.com/platform/hardware/qcom/camera,https://review.lineageos.org/LineageOS/android_hardware_qcom_camera
hardware_qcom_display,https://android.googlesource.com/platform/hardware/qcom/display,https://review.lineageos.org/LineageOS/android_hardware_qcom_display
hardware_qcom_gps,https://android.googlesource.com/platform/hardware/qcom/gps,https://review.lineageos.org/LineageOS/android_hardware_qcom_gps
hardware_qcom_keymaster,https://android.googlesource.com/platform/hardware/qcom/keymaster,https://review.lineageos.org/LineageOS/android_hardware_qcom_keymaster
hardware_qcom_media,https://android.googlesource.com/platform/hardware/qcom/media,https://review.lineageos.org/LineageOS/android_hardware_qcom_media
hardware_qcom_msm8960,https://android.googlesource.com/platform/hardware/qcom/msm8960,https://review.lineageos.org/LineageOS/android_hardware_qcom_msm8960
hardware_qcom_power,https://android.googlesource.com/platform/hardware/qcom/power,https://review.lineageos.org/LineageOS/android_hardware_qcom_power
hardware_qcom_sensors,https://android.googlesource.com/platform/hardware/qcom/sensors,https://review.lineageos.org/LineageOS/android_hardware_qcom_sensors
hardware_qcom_wlan,https://android.googlesource.com/platform/hardware/qcom/wlan,https://review.lineageos.org/LineageOS/android_hardware_qcom_wlan
hardware_ril,https://android.googlesource.com/platform/hardware/ril,https://review.lineageos.org/LineageOS/android_hardware_ril
hardware_samsung_slsi_exynos5,https://android.googlesource.com/platform/hardware/samsung_slsi/exynos5,https://review.lineageos.org/LineageOS/android_hardware_samsung_slsi_exynos5
hardware_ti_omap3,https://android.googlesource.com/platform/hardware/ti/omap3,https://review.lineageos.org/LineageOS/android_hardware_ti_omap3
hardware_ti_omap4xxx,https://android.googlesource.com/platform/hardware/ti/omap4xxx,https://review.lineageos.org/LineageOS/android_hardware_ti_omap4xxx
hardware_ti_wlan,https://android.googlesource.com/platform/hardware/ti/wlan,https://review.lineageos.org/LineageOS/android_hardware_ti_wlan
hardware_ti_wpan,https://android.googlesource.com/platform/hardware/ti/wpan,https://review.lineageos.org/LineageOS/android_hardware_ti_wpan
libcore,https://android.googlesource.com/platform/libcore,https://review.lineageos.org/LineageOS/android_libcore
libnativehelper,https://android.googlesource.com/platform/libnativehelper,https://review.lineageos.org/LineageOS/android_libnativehelper
